DocumentID,Institution name,Institution code (UKPRN),Main panel,URL,UoAValue,UoAString,4*,3*,2*,1*,unclassified,WordCount,TextUsed,IncludedInTopicModel,ResearchRank,ReasonForRemoval,food-environmental-science,art-media-research,study-english-literature,physics-group-facility,design-environment-project,mathematics-group-mathematical,law-school-international,study-language-linguistics,environmental-nerc-geography,social-research-work,archaeology-project-anthropology,wale-welsh-cardiff,engineering-technology-system,research-department-student,biology-cell-science,philosophy-project-ethic,research-staff-support,university-research-international,research-staff-university,chemistry-material-epsrc,system-computer-science,psychology-neuroscience-cognitive,economics-economic-lse,management-business-school,scottish-scotland-edinburgh,health-research-care,sport-exercise-science,clinical-cancer-research,history-study-project,music-performance-theatre
10007855-29-,Swansea University,10007855,D,http://strategicfutures.org/demos/REF2014/resources/pdfs/10007855-29-.pdf,29, English Language and Literature,40,50,10,0,0,2956,,TRUE,24,,0,0.013347023,0.210472279,0,0,0,0,0.015742642,0,0,3.42E-04,0.241615332,0,0.161190965,0,0,0.167351129,0.107118412,0.062970568,0,0,0,0,3.42E-04,0,0.007186858,0,0,0.012320329,0
10005553-31-,"Royal Holloway, University of London",10005553,D,http://strategicfutures.org/demos/REF2014/resources/pdfs/10005553-31-.pdf,31, Classics,0,60,40,0,0,2851,,TRUE,25,,0,0.024669289,0,0,0,0,0,0,0.007150518,0,0.013228459,0,0,0.259921344,0,0.008223096,0.089739006,0,0.247765463,0,0,0,0,0,0,0,0,7.15E-04,0.348587773,0
10005553-30-,"Royal Holloway, University of London",10005553,D,http://strategicfutures.org/demos/REF2014/resources/pdfs/10005553-30-.pdf,30, History,60,40,0,0,0,3780,,TRUE,25,,0,0.018304172,0.001345895,0,0,0,0,0,0,0.027725437,0,0,0,0.289367429,0,0,0.261641992,0.004037685,0.088559892,0,0,0,0,0,0,0,0,0,0.309017497,0
10005553-36-,"Royal Holloway, University of London",10005553,D,http://strategicfutures.org/demos/REF2014/resources/pdfs/10005553-36-.pdf,36," Communication, Cultural and Media Studies, Library and Information Management",70,30,0,0,0,2995,,TRUE,25,,0,0.309292184,0.02717209,0,0,0,0,0,0,0.010734653,0,0.002348205,0,0.243877893,0,0,0.021133848,0.119087555,0.258302583,0,0,0,0,0,0,0,0,0,0,0.00805099
10005553-35-A,"Royal Holloway, University of London",10005553,D,http://strategicfutures.org/demos/REF2014/resources/pdfs/10005553-35-A.pdf,35," Music, Drama, Dance and Performing Arts",80,20,0,0,0,3212,,TRUE,25,,0,0.025994363,0.023488882,0,0,0,0,0,0,0.077043533,0,0,0,0.141559662,0,0.00125274,0.339805825,0.010335108,0.123081741,0,0,3.13E-04,0,0,0,0,0,0,0.023802067,0.233322894
10005553-35-B,"Royal Holloway, University of London",10005553,D,http://strategicfutures.org/demos/REF2014/resources/pdfs/10005553-35-B.pdf,35," Music, Drama, Dance and Performing Arts",80,20,0,0,0,3270,,TRUE,25,,3.09E-04,0,0,0,3.09E-04,0,0,0.018512805,0,0,0,0,0,0.259796359,0,0,0.178648565,0.175871645,0.004936748,0,0,0,0,0,0,0,0,0,0.04072817,0.320888615
10005553-29-,"Royal Holloway, University of London",10005553,D,http://strategicfutures.org/demos/REF2014/resources/pdfs/10005553-29-.pdf,29, English Language and Literature,90,10,0,0,0,3467,,TRUE,25,,0,0.045828437,0.203877791,0,0,0,0,0.003231492,0,0,2.94E-04,0,0,0.308460635,0,0,0.222972973,0.036427732,0.178319624,0,0,0,0,5.88E-04,0,0,0,0,0,0
10005553-28-,"Royal Holloway, University of London",10005553,D,http://strategicfutures.org/demos/REF2014/resources/pdfs/10005553-28-.pdf,28, Modern Languages and Linguistics,30,70,0,0,0,3100,,TRUE,25,,0,0.008840864,0.041584807,0,0,0,0,0.176817289,0,0,0,0,0,0.274721676,0,0,0.161755075,0.098231827,0.205959398,0,0,0,0,3.27E-04,0,3.27E-04,0,0,0.031434185,0
10007154-27-B,University of Nottingham,10007154,D,http://strategicfutures.org/demos/REF2014/resources/pdfs/10007154-27-B.pdf,27, Area Studies,40,50,10,0,0,2992,,TRUE,26,,0,3.43E-04,0,0,0,0,0.042480301,0.032545392,0,0.015416238,0,0,0,0.32853717,0,0,0.207605344,0.132922234,0.048646797,0,0.001712915,0,0,0.183624529,0,0,0,0,0.006166495,0
10007154-27-A,University of Nottingham,10007154,D,http://strategicfutures.org/demos/REF2014/resources/pdfs/10007154-27-A.pdf,27, Area Studies,40,50,10,0,0,3101,,TRUE,26,,3.27E-04,0.045424837,0.092156863,0,0,0,0.010784314,0,0,0,0,0,0,0.074836601,0,0,0.166993464,0.266013072,0.033660131,0,0,0,0,9.80E-04,0,0,0,0,0.308823529,0
10007154-30-,University of Nottingham,10007154,D,http://strategicfutures.org/demos/REF2014/resources/pdfs/10007154-30-.pdf,30, History,0,50,50,0,0,3890,,TRUE,26,,2.62E-04,0.009680795,0.002616431,0,5.23E-04,0,0,0,5.23E-04,0.006279435,0,0,0.001046572,0.196232339,0,7.85E-04,0.122187336,0.173731031,0.172684458,0,0,5.23E-04,0,0.007064364,2.62E-04,0,0,0,0.304814233,7.85E-04
10007154-33-,University of Nottingham,10007154,D,http://strategicfutures.org/demos/REF2014/resources/pdfs/10007154-33-.pdf,33, Theology and Religious Studies,40,40,20,0,0,2964,,TRUE,26,,0,0,0.24412666,0,0,0,3.40E-04,0,0,0,0,0,0,0.256384065,0,0.030983997,0.196799455,0.077630235,0.154919986,0,0,0,3.40E-04,3.40E-04,0,0,0,0,0.03813415,0
10007154-34-,University of Nottingham,10007154,D,http://strategicfutures.org/demos/REF2014/resources/pdfs/10007154-34-.pdf,34," Art and Design_ History, Practice and Theory",0,50,50,0,0,2984,,TRUE,26,,0,0.338210276,0,0,0,0,6.81E-04,0,0.003402518,0,0,0,0,0.08948622,0,0,0.158557332,0.12385165,0.194624022,0,0,0,0,0,0,0,0,0,0.091187479,0
10007154-31-,University of Nottingham,10007154,D,http://strategicfutures.org/demos/REF2014/resources/pdfs/10007154-31-.pdf,31, Classics,30,60,10,0,0,2943,,TRUE,26,,0,0.03679278,0,0,0,0,0,0.003123915,0,0.010065949,3.47E-04,0,0,0.170426935,0,0.006594932,0.341200972,0.061437001,0.054147865,0,0,0.001041305,0,0,0,0,0,0,0.314821243,0
10007154-32-,University of Nottingham,10007154,D,http://strategicfutures.org/demos/REF2014/resources/pdfs/10007154-32-.pdf,32, Philosophy,0,80,20,0,0,2850,,TRUE,26,,0,0,0,0,0,0,0.001423994,0,0,0.001067996,0,0,0,0.187967248,0,0.206123176,0.165183339,0.041295835,0.393734425,0,0,0,0,0,0,0,0.003203987,0,0,0
10007154-35-,University of Nottingham,10007154,D,http://strategicfutures.org/demos/REF2014/resources/pdfs/10007154-35-.pdf,35," Music, Drama, Dance and Performing Arts",60,40,0,0,0,2715,,TRUE,26,,0,0.039039039,0,0,0,0,0,0,0,0,0,0,0,0.281906907,0,0,0.174174174,0.106231231,0.167792793,0,0,0,0,0,3.75E-04,0,0,3.75E-04,0.021021021,0.209084084
10007154-36-,University of Nottingham,10007154,D,http://strategicfutures.org/demos/REF2014/resources/pdfs/10007154-36-.pdf,36," Communication, Cultural and Media Studies, Library and Information Management",90,10,0,0,0,3657,,TRUE,26,,0,0.365540352,0.005864284,0,0,0,0,0.013124825,0,0.001954761,0,0,0,0.112538397,0,0,0.195755376,0.127338732,0.136554035,0,0,0,0,0.018989109,0,0,0,0,0.022340128,0
